name,id,level,1_country_id,1_country,2_district_id,2_district,3_chiefdom_id,3_chiefdom
Fadugu CHC,K6oyIMh7Lee,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,vEvs2ckGNQj,Kasonko
Fairo CHC,Gm7YUjhVi9Q,4,ImspTQPwCqd,Sierra Leone,bL4ooGhyHRQ,Pujehun,d9iMR1MpuIO,Soro-Gbeima
Fakunya,vULnao2hV5v,3,ImspTQPwCqd,Sierra Leone,jmIPBj66vD6,Moyamba,,
Falaba CHC,kuqKh33SPgg,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,PaqugoqjRIj,Sulima (Koinadugu)
Falaba CHP,pRg7dkjqNPc,4,ImspTQPwCqd,Sierra Leone,bL4ooGhyHRQ,Pujehun,eNtRuQrrZeo,Galliness Perri
Falaba MCHP,YTQRSW91PxO,4,ImspTQPwCqd,Sierra Leone,jmIPBj66vD6,Moyamba,vULnao2hV5v,Fakunya
Family Clinic,fXT1scbEObM,4,ImspTQPwCqd,Sierra Leone,at6UHUQatSo,Western Area,C9uduqDZr9d,Freetown
Fanima CHP,WT6JLfyR9lL,4,ImspTQPwCqd,Sierra Leone,bL4ooGhyHRQ,Pujehun,d9iMR1MpuIO,Soro-Gbeima
Fanima (Wonde) MCHP,Q23tMsKOoO6,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,ARZ4y5i4reU,Wonde
Fankoya MCHP,fmLRqcL9sWF,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,J4GiUImJZoE,Nieni
Fatibra CHP,jfV49JGnYKF,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,U6Kr7Gtpidn,Kakua
Fatkom Muchendeh Maternity Clinic,JLKGG67z7oj,4,ImspTQPwCqd,Sierra Leone,Vth0fbpFcsO,Kono,TQkG0sX9nca,Gbense
Fayeima CHP,Pr2stbkaSX3,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,l7pFejMtUoF,Tunkia
Feiba CHP,r4W2vzlmPhm,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,kU8vhUkAGaT,Lugbu
Fengehun MCHP,Ioxjc2KBjWd,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,U6Kr7Gtpidn,Kakua
Ferry CHP,Eyqyhztf8G1,4,ImspTQPwCqd,Sierra Leone,jmIPBj66vD6,Moyamba,gy8rmvYT4cj,Ribbi
Feuror MCHP,rYIkxCJFtTX,4,ImspTQPwCqd,Sierra Leone,Vth0fbpFcsO,Kono,iGHlidSFdpu,Soa
Fiama,CF243RPvNY7,3,ImspTQPwCqd,Sierra Leone,Vth0fbpFcsO,Kono,,
Fintonia CHC,xKaB8tfbTzm,4,ImspTQPwCqd,Sierra Leone,fdc6uOvgoji,Bombali,Qhmi8IZyPyD,Tambaka
Firawa CHC,NMcx2jmra3c,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,J4GiUImJZoE,Nieni
Foakor MCHP,iP4fRh8EHmF,4,ImspTQPwCqd,Sierra Leone,Vth0fbpFcsO,Kono,LhaAPLxdSFH,Lei
Fobu MCHP,e0RGds86ow6,4,ImspTQPwCqd,Sierra Leone,jUb8gELQApl,Kailahun,GE25DpSrqpB,Malema
Fodaya MCHP,i7Oh2tlkToJ,4,ImspTQPwCqd,Sierra Leone,PMa2VCrupOd,Kambia,qIRCo0MfuGb,Gbinleh Dixion
Fogbo CHP,fGp4OcovQpa,4,ImspTQPwCqd,Sierra Leone,jmIPBj66vD6,Moyamba,nV3OkyzF4US,Kori
Fogbo (WAR) MCHP,aVycEyoSBJx,4,ImspTQPwCqd,Sierra Leone,at6UHUQatSo,Western Area,qtr8GGlm4gg,Rural Western Area
Foindu (Lower Bamabara) CHC,pNPmNeqyrim,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,hdEuw2ugkVF,Lower Bambara
Foindu MCHP,D3oZZXtXjNk,4,ImspTQPwCqd,Sierra Leone,eIQbndfxQMb,Tonkolili,NNE0YMCDZkO,Yoni
Follah MCHP,t66taqSF1mW,4,ImspTQPwCqd,Sierra Leone,jUb8gELQApl,Kailahun,ERmBhYkhV6Y,Njaluahun
Folosaba Dembelia,iEkBZnMDarP,3,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,,
Fonikor CHP,LUGqPutql0P,4,ImspTQPwCqd,Sierra Leone,bL4ooGhyHRQ,Pujehun,eNtRuQrrZeo,Galliness Perri
Foredugu MCHP,z1ielwdLtPl,4,ImspTQPwCqd,Sierra Leone,TEQlaapDQoK,Port Loko,Pc3JTyqnsmL,Buya Romende
